MESURE_AGRDE_FLAG_NM,SEXDSTN_FLAG_CD,WEEK_ODR,DALY_ODR,MESURE_NMPR_CO,AVRG_PACE_CO
10대,F,WK_01,1,60,4439
10대,F,WK_01,2,64,4657
10대,F,WK_01,3,61,4161
10대,F,WK_01,4,64,3655
10대,F,WK_01,5,62,5922
10대,F,WK_01,6,62,4196
10대,F,WK_01,7,59,3271
10대,F,WK_02,1,60,3629
10대,F,WK_02,2,61,3704
10대,F,WK_02,3,61,3051
10대,F,WK_02,4,62,3520
10대,F,WK_02,5,61,3745
10대,F,WK_02,6,63,3629
10대,F,WK_02,7,59,4164
10대,F,WK_03,1,59,3815
10대,F,WK_03,2,61,3725
10대,F,WK_03,3,61,3022
10대,F,WK_03,4,62,2720
10대,F,WK_03,5,62,2856
10대,F,WK_03,6,61,3427
10대,F,WK_03,7,60,5036
10대,F,WK_04,1,59,5542
10대,F,WK_04,2,60,4108
10대,F,WK_04,3,42,4971
10대,F,WK_04,4,43,3602
10대,F,WK_04,5,40,4553
10대,F,WK_04,6,40,4864
10대,F,WK_04,7,26,5889
10대,M,WK_01,1,54,11645
10대,M,WK_01,2,54,9455
10대,M,WK_01,3,53,7705
10대,M,WK_01,4,53,8983
10대,M,WK_01,5,53,9773
10대,M,WK_01,6,53,7716
10대,M,WK_01,7,52,8792
10대,M,WK_02,1,54,7505
10대,M,WK_02,2,52,7438
10대,M,WK_02,3,53,7680
10대,M,WK_02,4,52,8939
10대,M,WK_02,5,53,8051
10대,M,WK_02,6,52,8877
10대,M,WK_02,7,52,7919
10대,M,WK_03,1,54,8918
10대,M,WK_03,2,54,8722
10대,M,WK_03,3,53,5683
10대,M,WK_03,4,53,7844
10대,M,WK_03,5,52,6972
10대,M,WK_03,6,53,7041
10대,M,WK_03,7,52,6466
10대,M,WK_04,1,52,7207
10대,M,WK_04,2,52,7132
10대,M,WK_04,3,53,7083
10대,M,WK_04,4,52,8842
10대,M,WK_04,5,52,7502
10대,M,WK_04,6,53,8094
10대,M,WK_04,7,39,6494
20대,F,WK_01,1,697,8979
20대,F,WK_01,2,689,6782
20대,F,WK_01,3,686,6916
20대,F,WK_01,4,681,7263
20대,F,WK_01,5,678,7012
20대,F,WK_01,6,674,7004
20대,F,WK_01,7,671,6907
20대,F,WK_02,1,672,6811
20대,F,WK_02,2,667,6921
20대,F,WK_02,3,665,6932
20대,F,WK_02,4,662,7410
20대,F,WK_02,5,663,7720
20대,F,WK_02,6,659,7058
20대,F,WK_02,7,657,6773
20대,F,WK_03,1,657,6507
20대,F,WK_03,2,656,6642
20대,F,WK_03,3,654,6664
20대,F,WK_03,4,653,6586
20대,F,WK_03,5,652,6451
20대,F,WK_03,6,614,6692
20대,F,WK_03,7,612,6491
20대,F,WK_04,1,613,6213
20대,F,WK_04,2,611,6541
20대,F,WK_04,3,604,6648
20대,F,WK_04,4,590,6458
20대,F,WK_04,5,588,6792
20대,F,WK_04,6,584,6560
20대,F,WK_04,7,422,6614
20대,M,WK_01,1,712,10827
20대,M,WK_01,2,702,8759
20대,M,WK_01,3,699,8588
20대,M,WK_01,4,695,8514
20대,M,WK_01,5,693,8775
20대,M,WK_01,6,691,8238
20대,M,WK_01,7,688,8940
20대,M,WK_02,1,687,9197
20대,M,WK_02,2,685,8199
20대,M,WK_02,3,683,8259
20대,M,WK_02,4,681,8627
20대,M,WK_02,5,678,8104
20대,M,WK_02,6,677,8121
20대,M,WK_02,7,672,8410
20대,M,WK_03,1,673,8662
20대,M,WK_03,2,672,8479
20대,M,WK_03,3,671,8563
20대,M,WK_03,4,651,8080
20대,M,WK_03,5,652,7932
20대,M,WK_03,6,649,8235
20대,M,WK_03,7,648,8471
20대,M,WK_04,1,648,8221
20대,M,WK_04,2,646,8193
20대,M,WK_04,3,609,8794
